,Real Estate ($K),Cash ($K),Bonds ($K),Equity Investments ($K),Alternative Investments ($K),Liabilities ($K),NAV ($K), Expenses ($) ,CPI-U
10/31/2022,"$2,408",$913,$351,"$2,789",$215,-$396,"$6,280"," $ (6,266)",298.012
11/30/2022,"$2,418",$877,$354,"$3,021",$217,-$456,"$6,431"," $ (6,368)",297.711
12/31/2022,"$2,406",$890,$354,"$2,891",$207,-$424,"$6,325"," $ (8,518)",296.797
1/31/2023,"$1,966",$976,$543,"$3,293",$270,-$439,"$6,609"," $ (7,161)",299.17
2/28/2023,"$2,147",$907,$537,"$3,241",$263,-$314,"$6,781"," $ (8,922)",300.84
3/31/2023,$0,"$2,912",$538,"$3,304",$277,-$250,"$6,780"," $ (7,471)",301.836
4/30/2023,$0,"$2,934",$520,"$3,350",$275,-$263,"$6,816"," $ (6,300)",303.363
5/31/2023,$0,"$2,954",$499,"$3,280",$270,-$246,"$6,757"," $ (8,538)",304.127
6/30/2023,$0,"$2,978",$497,"$3,426",$279,-$290,"$6,890"," $ (12,290)",305.109
7/31/2023,$445,"$2,554",$481,"$3,574",$280,-$328,"$7,005"," $ (9,727)",305.691
8/31/2023,$445,"$2,556",$481,"$3,467",$264,-$300,"$6,913"," $ (9,222)",307.026
9/30/2023,$554,"$2,532",$429,"$3,341",$251,-$280,"$6,826"," $ (11,060)",307.789
10/31/2023,$554,"$2,593",$379,"$3,219",$272,-$266,"$6,751"," $ (9,492)",307.671
11/30/2023,$548,"$2,594",$384,"$3,479",$295,-$340,"$6,961"," $ (9,312)",307.051
12/31/2023,$538,"$2,639",$386,"$3,654",$314,-$373,"$7,158"," $ (9,465)",306.746
1/31/2024,$538,"$2,043",$389,"$4,228",$243,-$326,"$7,115"," $ (13,353)",308.417
2/29/2024,$518,"$2,037",$385,"$4,385",$272,-$360,"$7,237"," $ (18,709)",310.326
3/31/2024,$498,"$2,035",$387,"$4,508",$290,-$389,"$7,330"," $ (8,270)",312.332
4/30/2024,$465,"$1,989",$380,"$4,386",$273,-$339,"$7,154"," $ (11,642)",313.548
5/31/2024,$465,"$2,007",$358,"$4,552",$297,-$398,"$7,282"," $ (23,657)",314.069
6/30/2024,$465,"$2,011",$357,"$4,560",$287,-$404,"$7,276"," $ (14,293)",314.175
7/31/2024,$465,"$1,995",$359,"$4,683",$292,-$417,"$7,377"," $ (11,784)",314.54
8/31/2024,$465,"$2,001",$360,"$4,747",$277,-$443,"$7,407"," $ (26,127)",314.796
9/30/2024,$465,"$2,010",$342,"$4,782",$283,-$449,"$7,434"," $ (12,335)",315.301
10/31/2024,$465,"$2,008",$340,"$4,684",$277,-$427,"$7,347"," $ (10,436)",315.664
11/30/2024,$465,"$1,667",$310,"$5,193",$367,-$479,"$7,523"," $ (14,089)",315.493
12/31/2024,$465,"$1,702",$312,"$4,945",$342,-$438,"$7,328"," $ (9,840)",315.605
1/31/2025,$458,"$1,633",$293,"$5,088",$345,-$406,"$7,412","-$11,438",317.671
2/28/2025,$458,"$1,621",$290,"$5,087",$323,-$405,"$7,374","-$17,425",319.082
3/31/2025,$458,"$1,638",$290,"$4,950",$309,-$370,"$7,276","-$10,462",319.799
4/30/2025,$458,"$1,629",$290,"$4,910",$306,-$351,"$7,242","-$10,008",320.795
5/31/2025,$458,"$1,647",$269,"$5,154",$332,-$707,"$7,153","-$12,607",321.465
6/30/2025,$458,"$1,690",$257,"$5,317",$328,-$455,"$7,596","-$10,543",322.561
7/31/2025,$478,"$1,744",$234,"$5,234",$360,-$455,"$7,596","-$9,207",323.048
8/31/2025,$498,"$1,649",$235,"$4,761","$1,115",-$483,"$7,776","-$13,368",323.976
9/30/2025,$496,"$1,394",$235,"$5,091","$1,166",-$465,"$7,918","-$13,161",324.8
10/31/2025,$526,"$1,382",$216,"$5,230","$1,159",-$732,"$7,780","-$21,832",324.8
11/30/2025,$556,"$1,232",$210,"$5,193","$1,175",-$494,"$7,873","-$11,064",324.122
12/31/2025,$626,"$1,263",$210,"$5,078","$1,202",-$501,"$7,878","-$19,747",325.252
1/31/2026,$717,"$1,451",$211,"$4,965","$1,247",-$518,"$8,073","-$18,758",325.252
2/28/2026,$742,"$1,332",$210,"$5,019","$1,372",-$540,"$8,136","-$15,914",326.785
3/31/2026,$767,"$1,441",$210,"$4,715","$1,128",-$429,"$7,831","-$18,862",330.213
4/30/2026,$867,"$1,321",$197,"$5,305","$1,153",-$579,"$8,264","-$23,295",333.02
5/31/2026,$917,"$1,250",$173,"$5,772","$1,114",-$660,"$8,566","-$8,452",335.123
6/30/2026,"$1,017","$1,156",$172,"$5,619","$1,048",-$620,"$8,391","-$22,214",333.952
7/31/2026,"$1,067","$1,130",$172,"$5,417","$1,069",-$589,"$8,267","-$8,323",333.952
